face_id,lot,dmp,county_objectid,county_address
FACE-0858,733,R100 027 000 1026 0000,38906436,80 OLD OYSTER FACTORY RD
FACE-0859,734,"R100 027 000 1002 0000 (AS OF FEB 2023, THIS # STILL SHOWS ""FUTURE DEVELOPMENT"" AS LEGAL DESCRIPTION ON TAX SITE)",38906415,82 OLD OYSTER FACTORY RD
FACE-0860,735,R100 027 000 1027 0000,38906437,84 OLD OYSTER FACTORY RD
FACE-0861,736,R100 027 000 1028 0000,38906438,86 OLD OYSTER FACTORY RD
FACE-0862,737,R100 027 000 1029 0000,38906439,88 OLD OYSTER FACTORY RD
FACE-0863,738,R100 027 000 1030 0000,38906440,90 OLD OYSTER FACTORY RD
FACE-0784,74,188,38905607,141 SOUTH PARK
FACE-0845,75,229,38905650,65 MUM GRACE
FACE-0774,76,187,38905606,137 SOUTH PARK
FACE-0842,77,228,38905649, 
FACE-0754,78,247,38905671,131 SOUTH PARK
FACE-0836,79,227,38905648, 
FACE-0356,8,285,38905713,20 ST PHILLIPS BLVD
FACE-0735,80,248,38905672,125 SOUTH PARK
FACE-0828,81,226,38905647,14 EVE CRK
FACE-0719,82,297,38905725,119 SOUTH PARK
FACE-0822,83,225,38905646,20 EVE CRK
FACE-0704,84,298,38905726,115 SOUTH PARK
FACE-0817,85,277,38905701,26 EVE CRK
FACE-0695,86,299,38905727,111 SOUTH PARK
FACE-0815,87,276,38905700,32 EVE CRK
FACE-0684,88,300,38905728,107 SOUTH PARK
FACE-0813,89,275,38905699,38 EVE CRK
FACE-0381,9,155,38905569,23 ST PHILLIPS BLVD
FACE-0661,90,301,38905729,103 SOUTH PARK
FACE-0809,91,274,38905698,44 EVE CRK
FACE-0627,92,302,38905730,101 SOUTH PARK
FACE-0807,93,273,38905697,50 EVE CRK
FACE-0652,94,303,38905731,116 COLLIN CAMPBELL
FACE-0806,95,246,38905670,62 EVE CRK
FACE-0675,96,304,38905732,120 COLLIN CAMPBELL
FACE-0800,97,245,38905669,68 EVE CRK
FACE-0816,98,215,38905636,52 MUM GRACE
FACE-0796,99,244,38905668,74 EVE CRK
FACE-0092,C1,134,38905545,1 MARKET
FACE-0172,C11,139,38905550,13 MARKET
FACE-0171,C12,124,38905536,14 MARKET
FACE-0177,C14,123,38905535,18 MARKET
FACE-0249,"C18,C25-1,C25-2","121,146,480",38905533,22 MARKET
FACE-0091,C2,133,38905544,2 MARKET
FACE-0203,C20,120,38905532,24 MARKET
FACE-0238,C22,119,38905531,30 MARKET
FACE-0231,"C22,C27-1,C27-2","119,147,481",38905531,30 MARKET
FACE-0241,C23,145,38905559,27 B MARKET -2
FACE-0230,C24,118,38905530,6 LE CHENE CIR
FACE-0229,C26,117,38905529,8 LE CHENE CIR
FACE-0251,C29,148,38905562,5 LE CHENE CIR
FACE-0226,C30,115,38905527,12 LE CHENE CIR
FACE-0274,C31,149,38905563,7 LE CHENE CIR
FACE-0217,C32,98,38905510,20 HARFORD
FACE-0285,C33,150,38905564,9 ST PHILLIPS BLVD
FACE-0188,C35,114,38905526,15 ASSEMBLY ROW
FACE-0214,C36,96,38905508,24 HARFORD
FACE-0190,C38,99,38905511,16 ASSEMBLY ROW
FACE-0163,C39,112,38905524,11 ASSEMBLY ROW
FACE-0153,C41,111,38905523,9 ASSEMBLY ROW
FACE-0165,C42,101,38905513,12 ASSEMBLY ROW
FACE-0122,C45,109,38905521,5 ASSEMBLY ROW
FACE-0138,C46,103,38905515,8 ASSEMBLY ROW
FACE-0124,C48,104,38905516,6 ASSEMBLY ROW
FACE-0088,C49,107,38905519,1 ASSEMBLY ROW
FACE-0101,C52,106,38905518,2 ASSEMBLY ROW
FACE-0125,C6,127,38905539,6 MARKET
FACE-0155,C9,138,38905549,9 B MARKET 1
